idname,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
13,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,primaryroot,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1.39,1.445404309,1.500808617,1.615837984,1.79430458,2.00805144,3.57045593,5.1973676,6.36714445,6.42152267,6.42152267,6.42152267,6.42152267,6.42152267
13,sum_root,3,3,3,3,3,4,4,4,5,5,1,1,1,1,1.79430458,1.73461084,1.500808617,1.615837984,1.39311001,2.00805144,3.57045593,5.1973676,6.36714445,6.42152267,2.521786,2.521786,2.521786,2.521786
13,Lateralroot,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.19580938,0.74296206,0.94655824,1.6979172,2.2091937,2.3633716,2.521786,2.521786,2.521786,2.521786,2.521786
13,primaryroot,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.1102597,3.07839984,3.09213435,3.44333834,4.62210862,5.687422025,6.75273543,7.46083544,7.78538912,7.92821487,7.92821487,7.92821487,7.92821487,7.92821487
13,sum_root,1,2,2,3,3,3,3,3,3,3,0,0,0,0,1.1102597,3.07839984,3.09213435,3.63914772,5.36507068,5.40100441,8.45065263,9.67002914,10.14876072,10.45000087,10.45000087,10.45000087,10.45000087,10.45000087
15,Lateralroot,0,0,3,11,17,23,35,47,47,48,50,52,57,61,0,0,0.37913791,7.573232655,20.47563763,30.60850568,45.78251686,65.13784791,78.32600614,82.6329867,94.94847261,103.3596778,109,112.1903551
15,primaryroot,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6.8072426,10.98235324,14.4258382,20.4268225,23.5891691,27.31456833,27.89717984,29.10680438,30.5995704,31.1281852,32.77663425,35.0156661,35.7,36.85168883
15,sum_root,4,4,7,15,21,27,39,51,51,52,54,56,0,65,6.8072426,10.98235324,14.80497611,28.00005516,44.06480673,58.50568552,73.09708519,94.24465229,108.9255765,113.7611719,127.7251069,138.3753439,140.321136,149.0420439
15,Lateralroot,0,0,0,2,9,9,9,16,16,20,22,22,23,26,0,0,0,0.06565106,0.740403342,13.57113676,18.85343216,25.53789703,49.26813858,54.25964928,60.08948927,61.69564879,70.92321249,89.53595416
15,primaryroot,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.5712042,6.34606875,10.474751,14.9608302,20.7954109,30.9871444,34.4318167,35.4340268,37.6748272,38.9437546,40.4153802,42.3370953,42.4078266,43.3377971
15,sum_root,4,4,4,6,13,13,13,20,20,24,26,26,27,30,5.5712042,10.474751,14.9608302,20.86106196,7.086472092,44.55828116,53.28524886,60.97192383,86.94296578,99.03324387,94.67502948,105.0334459,113.3310391,131.8730495
15,Lateralroot,0,0,1,22,48,70,99,99,122,122,122,122,134,170,0,0,0.31507164,14.37614174,40.15462907,81.68253536,85.04797641,109.8139787,109.95402,125.0032683,152.1358297,161.4380991,190.1142515,219.9666134
15,primaryroot,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.6702402,19.5441912,26.9454846,30.5316173,34.5980609,38.0651303,41.1508938,45.375745,48.040962,48.22578,51.147929,52.305588,56.792514,58.68812
15,sum_root,5,5,6,27,53,75,104,103,127,105,126,127,139,175,8.6702402,19.5441912,30.84668894,52.44127204,81.30552287,127.0582804,158.1798,173.0442303,212.5860281,204.4414177,144.4120396,111.993461,246.9067655,278.6547334
17,Lateralroot,0,0,2,3,7,11,11,11,11,11,11,11,11,12,0,0,0.205941414,0.53904435,1.88099989,3.65148471,6.37350219,8.63469924,9.95762412,13.41862503,13.61477452,15.75270327,16.96170674,18.0385494
